image_name,text
capchasolver0.png,4866
capchasolver1.png,x1UT
capchasolver2.png,wpts
capchasolver3.png,2G2G
capchasolver4.png,5K5K
capchasolver5.png,9TGF
capchasolver7.png,4wVU
capchasolver8.png,JWQP
capchasolver9.png,7CMM
capchasolver10.png,0gLK
capchasolver11.png,8466
capchasolver12.png,X0DD
capchasolver13.png,8E8E
capchasolver14.png,a2JI
capchasolver15.png,LLLL
capchasolver16.png,L6AA
capchasolver17.png,8998
capchasolver18.png,3966
capchasolver19.png,GdVU
capchasolver20.png,NCIH
capchasolver21.png,1533
capchasolver22.png,L9CB
capchasolver23.png,4uUT
capchasolver24.png,C99C
capchasolver25.png,6666
capchasolver26.png,EzEz
capchasolver27.png,Oydd
capchasolver28.png,u2TS
capchasolver29.png,CfUT
capchasolver30.png,R0AA
capchasolver31.png,3aJJ
capchasolver32.png,M6BA
capchasolver33.png,NjNj
capchasolver34.png,7676
capchasolver35.png,g1LL
capchasolver36.png,S3CC
capchasolver37.png,2965
capchasolver38.png,jZbb
capchasolver39.png,N4AA
capchasolver40.png,8E8E
capchasolver41.png,2zVV
capchasolver42.png,2bJJ
capchasolver43.png,4xVV
capchasolver44.png,EyEy
capchasolver45.png,tLLt
capchasolver46.png,7676
capchasolver47.png,61QQ
capchasolver48.png,1qQQ
capchasolver49.png,2fLL
capchasolver50.png,z4WW
capchasolver51.png,L1L1
capchasolver52.png,xptt
capchasolver53.png,zbnn
capchasolver54.png,A77A
capchasolver55.png,Jzbb
capchasolver56.png,0B99
capchasolver57.png,sYff
capchasolver58.png,t6UU
capchasolver59.png,GRML
capchasolver60.png,PaYX
capchasolver61.png,5766
capchasolver62.png,y9YY
capchasolver63.png,f4MM
capchasolver64.png,P5CB
capchasolver65.png,oDZY
capchasolver66.png,KsKs
capchasolver67.png,AqYY
capchasolver68.png,pCZY
capchasolver69.png,f7ON
capchasolver70.png,3333
capchasolver71.png,Xncc
capchasolver72.png,j4OO
capchasolver73.png,J22J
capchasolver74.png,g6ON
capchasolver75.png,3OAA
capchasolver76.png,7TFE
capchasolver77.png,TFMM
capchasolver78.png,BFDD
capchasolver79.png,fxoo
capchasolver80.png,JXQQ
capchasolver81.png,9TGF
capchasolver82.png,nTaa
capchasolver83.png,Yiaa
capchasolver84.png,8G8G
capchasolver85.png,0nOO
